,id,Brand,Type,CPUbrand,SSD,GPUbrand,RAM,OS,Touchscreen,Weight,Price,PPI
0,1,ACER,Gaming,AMD,512 GB,NVIDIA,8,Windows,No,Heavy,45990,141.21199808219862
2,3,ACER,Gaming,AMD,512 GB,NVIDIA,16,Windows,No,Heavy,49990,141.21199808219862
3,4,ASUS,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,35990,141.21199808219862
4,5,HP,Notebook,AMD,256 GB,None,4,Linux/Others,No,Heavy,22490,100.45466986113651
5,6,MSI,Gaming,Intel,512 GB,NVIDIA,8,Windows,No,Medium,49990,141.21199808219862
6,7,MSI,Gaming,AMD,512 GB,AMD,8,Windows,No,Heavy,49990,141.21199808219862
7,8,LENOVO,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,38799,141.21199808219862
8,9,HP,Ultraportable,AMD,256 GB,AMD,8,Windows,No,Light,26999,111.93520355955211
9,10,HP,Gaming,AMD,512 GB,NVIDIA,8,Windows,No,Heavy,62990,141.21199808219862
10,11,LENOVO,Notebook,Intel,256 GB,Intel,8,Windows,No,Medium,28129,100.45466986113651
11,12,ASUS,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,44990,141.21199808219862
12,13,LENOVO,Ultraportable,AMD,512 GB,AMD,8,Windows,No,Medium,46019,141.21199808219862
13,14,DELL,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Medium,42500,141.21199808219862
14,15,DELL,Notebook,AMD,256 GB,AMD,8,Windows,No,Medium,31021,100.45466986113651
15,16,MSI,Gaming,Intel,512 GB,NVIDIA,8,Windows,No,Medium,68990,141.21199808219862
16,17,HP,Notebook,AMD,512 GB,AMD,8,Linux/Others,No,Medium,26490,111.93520355955211
17,18,ASUS,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Medium,50990,157.3505121487356
18,19,MSI,Gaming,Intel,512 GB,NVIDIA,8,Windows,No,Medium,59990,141.21199808219862
19,20,INFINIX,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Light,24999,157.3505121487356
20,21,APPLE,Notebook,Others,1 TB,None,32,Mac,No,Heavy,309490,254.0233485458816
21,22,ASUS,Ultraportable,AMD,512 GB,AMD,16,Windows,No,Medium,47990,157.3505121487356
22,23,ASUS,Gaming,Intel,512 GB,NVIDIA,8,Windows,No,Heavy,58990,141.21199808219862
23,24,HP,Notebook,Intel,512 GB,Intel,8,Windows,No,Heavy,37399,100.45466986113651
24,1,ASUS,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,46990,141.21199808219862
25,2,ASUS,Notebook,AMD,512 GB,NVIDIA,16,Windows,No,Medium,71990,141.21199808219862
26,3,ACER,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Medium,32990,141.21199808219862
27,4,HP,Ultraportable,Intel,512 GB,Intel,16,Windows,No,Light,61999,157.3505121487356
28,5,HP,Ultraportable,AMD,512 GB,AMD,8,Windows,No,Medium,48990,141.21199808219862
29,6,INFINIX,Ultraportable,Intel,256 GB,Intel,8,Windows,No,Light,29990,157.3505121487356
30,7,LENOVO,Notebook,Intel,512 GB,Intel,8,Windows,No,Light,40990,141.21199808219862
32,9,HP,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,44490,141.21199808219862
33,10,HP,Ultraportable,AMD,256 GB,AMD,8,Windows,No,Medium,29999,100.45466986113651
34,11,APPLE,Ultraportable,Others,256 GB,None,8,Mac,No,Light,89990,226.98300468106115
35,12,ASUS,Gaming,AMD,512 GB,NVIDIA,8,Windows,No,Heavy,55290,127.33567457123111
36,13,LENOVO,Gaming,Intel,512 GB,NVIDIA,8,Windows,No,Heavy,58990,141.21199808219862
37,14,ACER,Notebook,AMD,512 GB,AMD,8,Windows,No,Heavy,37990,141.21199808219862
38,15,DELL,Gaming,AMD,512 GB,NVIDIA,16,Windows,No,Heavy,70990,141.21199808219862
39,16,ASUS,Ultraportable,Intel,512 GB,Intel,8,Windows,No,Medium,50990,141.21199808219862
40,17,ASUS,Ultraportable,Intel,256 GB,Intel,4,Windows,No,Medium,25990,111.93520355955211
41,18,ASUS,Notebook,AMD,512 GB,NVIDIA,16,Windows,No,Medium,66990,141.21199808219862
42,19,DELL,Ultraportable,AMD,512 GB,AMD,8,Windows,No,Medium,35504,157.3505121487356
43,20,ASUS,Gaming,AMD,1 TB,NVIDIA,16,Windows,No,Heavy,90990,141.21199808219862
44,21,MSI,Gaming,Intel,512 GB,NVIDIA,8,Windows,No,Medium,57990,141.21199808219862
